"2026 끝장전 중계진 승자 예측 정리 날짜","선수1","선수2","세트","맵","갯수","중계진","선택","성공/실패","","2026 중계진 미션 성공 지수 순위 순위","이름","전체","승","승률","지수","수익률","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 2","KnockOut","500","박상현 캐스터","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 2","KnockOut","500","이승원 해설","조기석(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 3","Dominator","1000","이승원 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 5","Litmus","2000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 6","Radeon","2000","이승원 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 7","KnockOut","4000","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 8","Metropolis","2500","박상현 캐스터","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-02","박상현(Z)","조기석(T)","SET 9","Dominator","2000","임성춘 해설","조기석(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 1","MatchPoint","1000","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 2","Neo Sylphid","1000","이승원 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 3","Pole Star","1000","이승원 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 4","KnockOut","1000","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 5","Octagon","1000","이승원 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 6","Pole Star","1000","이승원 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 6","Pole Star","1000","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 7","MatchPoint","1000","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 7","MatchPoint","1000","임성춘 해설","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 8","Neo Sylphid","6050","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-09","박상현(Z)","장윤철(P)","SET 9","Octagon","8050","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 2","Pole Star","1000","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 3","Octagon","1000","박상현 캐스터","박상현(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 4","Neo Sylphid","1000","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 5","MatchPoint","1100","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 6","Neo Sylphid","1000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 7","Octagon","1000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 8","MatchPoint","10000","임성춘 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 8","MatchPoint","1000","박상현 캐스터","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 9","Attitude","10000","이승원 해설","박상현(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-19","박상현(Z)","이재호(T)","SET 9","Attitude","1000","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 3","Jane Doe","333","박상현 캐스터","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 4","Octagon","333","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 5","KnockOut","555","이승원 해설","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 6","Pole Star","333","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 7","Jane Doe","2777","임성춘 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 8","Neo Sylphid","6200","박상현 캐스터","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"2026-02-23","이재호(T)","변현제(P)","SET 9","Octagon","100","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 1","KnockOut","300","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 2","Octagon","1000","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 2","Octagon","300","이승원 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 3","Pole Star","1000","임성춘 해설","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 4","Jane Doe","1000","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 4","Jane Doe","300","이승원 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 5","Attitude","1000","임성춘 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 5","Attitude","300","이승원 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 6","KnockOut","1000","임성춘 해설","김명운(Z)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 7","Pole Star","5050","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 7","Pole Star","500","이승원 해설","김명운(Z)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 8","Octagon","1000","이승원 해설","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"2026-03-06","이재호(T)","김명운(Z)","SET 9","Jane Doe","1500","이승원 해설","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 2","Pole Star","1000","이승원 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 3","Neo Sylphid","1000","임성춘 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 4","Jane Doe","3468","박상현 캐스터","도재욱(P)","성공","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 5","KnockOut","1000","박상현 캐스터","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 6","Jane Doe","1000","박상현 캐스터","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 7","Octagon","5000","임성춘 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 8","Neo Sylphid","5000","이승원 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","도재욱(P)","SET 9","KnockOut","10000","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","조일장(Z)","SET 4","MatchPoint","300","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","조일장(Z)","SET 5","Attitude","300","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","조일장(Z)","SET 6","Pole Star","300","박상현 캐스터","이재호(T)","실패","","","","","","","","","","","","","","","","","",""
"","이재호(T)","조일장(Z)","SET 7","Attitude","600","임성춘 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 4","KnockOut","1000","임성춘 해설","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 5","Octagon","1000","임성춘 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 5","Octagon","1000","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 6","Jane Doe","1000","이승원 해설","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 7","Attitude","1000","이승원 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 8","Octagon","5050","임성춘 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","변현제(P)","SET 9","Neo Sylphid","15650","임성춘 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 1","Octagon","500","박상현 캐스터","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 2","MatchPoint","930","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 3","Jane Doe","1030","박상현 캐스터","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 4","Neo Sylphid","911","임성춘 해설","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 5","Attitude","2224","임성춘 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 6","Octagon","4000","이승원 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 7","MatchPoint","2330","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 7","MatchPoint","693","이승원 해설","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 8","Neo Sylphid","1000","박상현 캐스터","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 9","Attitude","2000","임성춘 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","유영진(T)","SET 9","Attitude","693","이승원 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 1","KnockOut","100","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 3","Octagon","100","박상현 캐스터","조일장(Z)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 4","Neo Sylphid","200","이승원 해설","이영웅(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 7","Octagon","830","박상현 캐스터","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 8","Attitude","948","임성춘 해설","이영웅(T)","성공","","","","","","","","","","","","","","","","","",""
"","조일장(Z)","이영웅(T)","SET 9","Neo Sylphid","924","이승원 해설","조일장(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","황병영(T)","SET 8","KnockOut","1000","박상현 캐스터","김민철(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","황병영(T)","SET 9","Jane Doe","237","임성춘 해설","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 2","Neo Sylphid","337","임성춘 해설","김민철(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 4","Octagon","100","임성춘 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 5","Attitude","5000","이승원 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 6","Pole Star","10000","임성춘 해설","김지성(T)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 7","Neo Sylphid","6000","박상현 캐스터","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 8","Octagon","14000","임성춘 해설","김지성(T)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","김지성(T)","SET 9","Attitude","10000","박상현 캐스터","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 1","Jane Doe","300","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 2","Neo Sylphid","1000","임성춘 해설","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 3","Attitude","1000","이승원 해설","김민철(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 4","Octagon","1100","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 5","KnockOut","300","이승원 해설","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 6","Attitude","1000","임성춘 해설","김민철(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 6","Attitude","300","이승원 해설","김민철(Z)","성공","","","","","","","","","","","","","","","","","",""
"","김민철(Z)","장윤철(P)","SET 7","Jane Doe","1000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 1","Octagon","1400","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 2","Neo Sylphid","500","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 4","KnockOut","600","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 5","Pole Star","400","임성춘 해설","이영웅(T)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 6","Neo Sylphid","700","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 7","Jane Doe","10000","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 8","Octagon","10000","임성춘 해설","이영웅(T)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이영웅(T)","SET 9","Pole Star","10000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 5","Neo Sylphid","500","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 6","Jane Doe","1500","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 7","Attitude","1281","임성춘 해설","임홍규(Z)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 8","Octagon","992","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 8","Octagon","200","이승원 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","임홍규(Z)","SET 9","KnockOut","100","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이재호(T)","SET 1","Pole Star","333","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이재호(T)","SET 5","KnockOut","400","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이재호(T)","SET 6","Pole Star","1000","임성춘 해설","이재호(T)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 1","Attitude","211","박상현 캐스터","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 2","MatchPoint","123","임성춘 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 3","Octagon","1000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 4","Neo Sylphid","1000","임성춘 해설","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 5","KnockOut","1000","임성춘 해설","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 6","MatchPoint","1000","박상현 캐스터","이제동(Z)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 7","Attitude","2000","이승원 해설","이제동(Z)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 8","Octagon","1000","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","이제동(Z)","SET 9","Neo Sylphid","1000","임성춘 해설","이제동(Z)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 1","Pole Star","200","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 2","MatchPoint","100","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 3","Octagon","400","박상현 캐스터","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 4","KnockOut","100","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 5","Neo Sylphid","100","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 7","MatchPoint","100","이승원 해설","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 8","Octagon","500","박상현 캐스터","장윤철(P)","실패","","","","","","","","","","","","","","","","","",""
"","장윤철(P)","유영진(T)","SET 9","KnockOut","500","임성춘 해설","장윤철(P)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 2","Pole Star","100","임성춘 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 4","KnockOut","800","박상현 캐스터","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 5","Neo Sylphid","500","임성춘 해설","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 7","Pole Star","500","이승원 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 8","Neo Sylphid","500","이승원 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","도재욱(P)","SET 9","KnockOut","1000","이승원 해설","도재욱(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","김민철(Z)","SET 3","Octagon","300","임성춘 해설","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","김민철(Z)","SET 4","Neo Sylphid","150","박상현 캐스터","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","김민철(Z)","SET 8","KnockOut","400","임성춘 해설","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","김민철(Z)","SET 9","Octagon","5200","임성춘 해설","김민철(Z)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 1","Neo Sylphid","500","박상현 캐스터","변현제(P)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 2","MatchPoint","625","임성춘 해설","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 3","Pole Star","500","이승원 해설","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 4","KnockOut","500","박상현 캐스터","유영진(T)","실패","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 5","Octagon","500","이승원 해설","변현제(P)","성공","","","","","","","","","","","","","","","","","",""
"","유영진(T)","변현제(P)","SET 6","Pole Star","2000","박상현 캐스터","유영진(T)","성공","","","","","","","","","","","","","","","","","",""
